属性,实例1,实例2,实例3,实例4,实例5,实例6,实例7,实例8,实例9,实例10,实例11,实例12,实例13,实例14,实例15,实例16
Disk-磁盘唯一ID,5000C500ED9EC5A1,eui.0000000000000001,eui.0000000000000000A428B76E2302F0FB,50014E2E157EEABA,33981F200BB8704BA2FF73ACD4CEC428,061F09F30DBBE548A01ADFB356B4C54A,5000CCA03EBA965C,5000C50062E3892B,5000C5009631B56F,0000000000000000,500253E841055CAB,5000C500B6FD9643,5000C500869FE2F3,5000C5008FBCE21F,5000C500863B849F,5000C500B6FD3C6B
Disk-磁盘对象ID,"{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{272e059f-8e3f-56b8-0ebc-76147e491b70}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{7c83525f-6484-12f9-d750-f98fd2dff3a9}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{26d9bf9e-f882-a644-e174-6f6ba238b48e}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{86bd038b-0d18-e9b8-0b74-a210caabf724}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_VirtualDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VD:{2a814553-2668-45b0-8793-64b98093f59d}{201f9833-b80b-4b70-a2ff-73acd4cec428}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_VirtualDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:VD:{e1a79576-1ace-4525-bc8e-512e57c669fb}{f3091f06-bb0d-48e5-a01a-dfb356b4c54a}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{2476a37b-413b-7b13-6313-d12440086ae6}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{2a4b12b8-f3b4-a393-08c7-483c67ae251e}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{2acae1ac-14f4-b7e5-8539-6f8efb6887ef}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{2b36ea7d-ac3f-008e-956a-4952a3d4f474}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{5bbe26e3-5ec0-1527-6942-f5a66f7b8c08}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{911e13d4-cd87-508d-19a8-5a25c8904477}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{94240c6c-8499-dadd-3814-6712f3f54aeb}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{9b3635a8-aee9-56f3-2c5c-6a38b3e15df7}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{a0d9b9db-58b1-0e59-cb09-516ad59ac1d8}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_PhysicalDisk.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:PD:{e2e77b27-b3b8-75bd-fc73-79a8eb515d49}"""
Disk-磁盘路径,\\?\scsi#disk&ven_&prod_st8000nm017b-2tj#4&11742ca2&0&040000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},\\?\scsi#disk&ven_nvme&prod_predator_ssd_gm7#5&3ac9e863&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},\\?\scsi#disk&ven_nvme&prod_zhitai_tipro7000#5&263eb610&0&000000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},\\?\scsi#disk&ven_wdc&prod_wd42ejrx-89bfny0#4&11742ca2&0&050000#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},\\?\storage#disk#{201f9833-b80b-4b70-a2ff-73acd4cec428}#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},\\?\storage#disk#{f3091f06-bb0d-48e5-a01a-dfb356b4c54a}#{53f56307-b6bf-11d0-94f2-00a0c91efb8b},,,,,,,,,,
Disk-物理位置,Integrated : Bus 0 : Device 23 : Function 0 : Adapter 0 : Port 4,PCI Slot 28 : Bus 3 : Device 0 : Function 0 : Adapter 2,Integrated : Bus 2 : Device 0 : Function 0 : Adapter 1,Integrated : Bus 0 : Device 23 : Function 0 : Adapter 0 : Port 5,,,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 11 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 0 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 8 : LUN 0,Integrated : Bus 0 : Device 23 : Function 0 : Adapter 0 : Port 7,Integrated : Bus 0 : Device 23 : Function 0 : Adapter 0 : Port 6,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 1 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 9 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 6 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 10 : LUN 0,PCI Slot 8 : Bus 6 : Device 0 : Function 0 : Adapter 4 : Port 0 : Target 3 : LUN 0
Storage-名称,Pool01,Primordial,Pool02,Pool01-SSD,Pool01-HDD,Pool02-HDDTier02,Pool02-SSDTier02,,,,,,,,,
Storage-介质类型,None,None,None,SSD,HDD,HDD,SSD,,,,,,,,,
Storage-容量,11413.4 GiB,42.6637 TiB,15366.7 GiB,232.5 GiB,8374.5 GiB,9830.5 GiB,460 GiB,,,,,,,,,
Storage-已分配,11403.2 GiB,26.1574 TiB,15210.5 GiB,232.5 GiB,8374.5 GiB,9830.5 GiB,460 GiB,,,,,,,,,
Storage-弹性设置,,,,Simple,Parity,Parity,Simple,,,,,,,,,
Storage-存储池逻辑扇区,4096 Byte,,4096 Byte,,,,,,,,,,,,,
Storage-存储池物理扇区,4096 Byte,,4096 Byte,,,,,,,,,,,,,
Storage-存储池默认预配类型,Fixed,Fixed,Fixed,,,,,,,,,,,,,
Storage-存储池状态,OK,OK,OK,,,,,,,,,,,,,
Storage-存储池健康状态,Healthy,Healthy,Healthy,,,,,,,,,,,,,
Storage-存储层介质类型,SSD,HDD,HDD,SSD,,,,,,,,,,,,
Storage-存储层弹性设置,Simple,Parity,Parity,Simple,,,,,,,,,,,,
Storage-存储层列数,1,4,3,1,,,,,,,,,,,,
Storage-存储层条带大小,64 KiB,64 KiB,64 KiB,64 KiB,,,,,,,,,,,,
Storage-存储层分配单元,768 MiB,256 MiB,256 MiB,512 MiB,,,,,,,,,,,,
Storage-存储池唯一ID,{2a814553-2668-45b0-8793-64b98093f59d},{d0e6e85a-02d6-11ee-a0e6-806e6f6e6963},{e1a79576-1ace-4525-bc8e-512e57c669fb},,,,,,,,,,,,,
Storage-存储池对象ID,"{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StoragePool.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:SP:{2a814553-2668-45b0-8793-64b98093f59d}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StoragePool.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:SP:{d0e6e85a-02d6-11ee-a0e6-806e6f6e6963}""","{1}\\DESKTOP-PL96UKD\root/Microsoft/Windows/Storage/Providers_v2\SPACES_StoragePool.ObjectId=""{d0e6e85b-02d6-11ee-a0e6-806e6f6e6963}:SP:{e1a79576-1ace-4525-bc8e-512e57c669fb}""",,,,,,,,,,,,,
Storage-存储层唯一ID,{409759d5-aa75-4c76-b53a-e6f072e5e78e},{d3747729-7046-44e9-9ca0-b67c8f1069e8},{5848762a-86e3-4bdd-a6f3-d1f0541b49cc},{d7909454-3092-48c2-b2fd-c541e4b50771},,,,,,,,,,,,
